season,player_name,team,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,doug baldwin,SEA,8,5,62.5,58,4,16.3,3,2,66.67,14,2,13.0
2013,vincent brown,SDG,8,6,75.0,25,1,9.2,4,2,50.0,13,1,9.3
2013,jim dray,ARI,8,6,75.0,39,2,11.8,4,3,75.0,15,2,12.1
2013,rob gronkowski,NWE,8,5,62.5,53,3,10.0,4,3,75.0,21,2,10.5
2013,steven jackson,ATL,8,4,50.0,9,1,8.8,6,3,50.0,7,1,12.2
2013,jeremy kerley,NYJ,8,5,62.5,40,2,16.3,3,1,33.33,0,0,12.5
2013,brandon lafell,CAR,8,4,50.0,36,3,15.1,3,2,66.67,4,1,13.0
2013,heath miller,PIT,8,4,50.0,25,1,9.2,4,2,50.0,10,1,10.3
2013,austin pettis,STL,8,4,50.0,20,3,10.8,6,3,50.0,11,3,15.0
2013,jacquizz rodgers,ATL,8,6,75.0,46,2,8.8,2,1,50.0,8,1,4.1
2013,jerome simpson,MIN,8,1,12.5,8,1,13.1,3,1,33.33,8,1,11.5
2013,darren sproles,NOR,8,5,62.5,34,1,9.8,2,2,100.0,7,0,4.9
2013,golden tate,SEA,8,4,50.0,28,3,16.3,4,3,75.0,18,3,17.4
2013,griff whalen,IND,8,2,25.0,21,2,11.0,3,1,33.33,7,1,8.8
2013,kendall wright,TEN,8,7,87.5,33,2,14.8,4,3,75.0,20,2,13.8
2013,tim wright,TAM,8,4,50.0,28,4,15.4,5,3,60.0,16,3,19.2
2013,cole beasley,DAL,7,6,85.71,35,2,10.8,3,3,100.0,16,2,7.5
2013,earl bennett,CHI,7,6,85.71,43,4,8.4,5,4,80.0,18,3,11.1
2013,mike brown,JAX,7,3,42.86,24,1,9.2,4,1,25.0,7,1,9.8
2013,reggie bush,DET,7,4,57.14,49,2,9.2,1,0,0.0,0,0,2.9
2013,jeff cumberland,NYJ,7,3,42.86,25,2,14.3,3,1,33.33,8,1,12.5
2013,tyler eifert,CIN,7,3,42.86,9,1,10.9,5,2,40.0,4,1,14.7
2013,brandon gibson,MIA,7,5,71.43,30,3,10.9,5,4,80.0,17,2,19.2
2013,rob housler,ARI,7,3,42.86,24,1,10.3,4,1,25.0,2,0,12.1
2013,bruce miller,SFO,7,3,42.86,14,0,14.3,3,1,33.33,5,0,10.3
2013,santana moss,WAS,7,3,42.86,20,2,11.3,3,2,66.67,12,2,9.4
2013,demarco murray,DAL,7,5,71.43,25,1,10.8,2,2,100.0,11,1,5.0
2013,adrian peterson,MIN,7,4,57.14,10,1,11.5,2,2,100.0,7,1,7.7
2013,brandon pettigrew,DET,7,4,57.14,38,2,9.2,3,2,66.67,11,1,8.8
2013,andrew quarless,GNB,7,3,42.86,10,2,8.2,5,2,40.0,5,2,10.0
2013,jordan reed,WAS,7,6,85.71,36,3,11.3,3,2,66.67,6,2,9.4
2013,mychal rivera,OAK,7,5,71.43,44,3,13.2,1,1,100.0,1,1,3.4
2013,anthony sherman,KAN,7,5,71.43,28,1,9.3,3,2,66.67,6,0,9.1
2013,reggie wayne,IND,7,3,42.86,24,2,9.6,3,1,33.33,5,1,8.8
2013,mike williams,TAM,7,4,57.14,43,2,13.5,2,1,50.0,8,1,7.7
2013,kellen winslow,NYJ,7,4,57.14,28,2,14.3,4,2,50.0,8,2,16.7
2013,danny amendola,NWE,6,3,50.0,25,1,7.5,4,2,50.0,9,1,10.5
2013,giovani bernard,CIN,6,5,83.33,41,1,9.4,1,1,100.0,5,0,2.9
