season,team_x,player_name,gsis_id,snaps,team_snaps,games_played,receptions,rec_yards,rec_tds,targets,air_yards,target_share,touch_perc,yards_after_catch,stand_fp,ppr_fp,half_ppr_fp,adot,team_y,rz_targets,rz_receptions,rz_catch_rate,rz_rec_yards,rz_rec_tds,rz_target_share,rz10_targets,rz10_receptions,rz10_catch_rate,rz10_rec_yards,rz10_rec_tds,rz10_target_share
2013,DET,calvin johnson,00-0025389,892,1008.0,14.0,84.0,1492.0,12.0,156.0,2184.0,17.49,17.49,458.0,221.20000000000002,305.20000000000005,263.20000000000005,14.0,DET,23.0,10.0,43.48,78.0,7.0,30.3,10.0,5.0,50.0,20.0,4.0,29.4
2013,TEN,nate washington,00-0023367,887,1075.0,16.0,58.0,919.0,3.0,105.0,1430.0,11.84,11.84,233.0,109.9,167.9,138.9,13.619047619047619,TEN,5.0,4.0,80.0,23.0,1.0,9.3,2.0,2.0,100.0,10.0,1.0,6.9
2013,GB,james jones,00-0025465,847,975.0,14.0,59.0,817.0,3.0,93.0,1067.0,10.98,10.98,369.0,99.7,158.7,129.2,11.473118279569892,GNB,13.0,8.0,61.54,49.0,2.0,15.3,8.0,4.0,50.0,20.0,2.0,16.0
2013,KC,dwayne bowe,00-0025410,837,1007.0,15.0,57.0,673.0,5.0,103.0,1113.0,12.31,12.31,281.0,97.3,154.3,125.8,10.805825242718447,KAN,14.0,7.0,50.0,42.0,3.0,18.7,6.0,4.0,66.67,18.0,2.0,18.2
2013,NYG,hakeem nicks,00-0027005,833,959.0,15.0,56.0,896.0,0.0,101.0,1355.0,12.12,12.12,267.0,89.60000000000001,145.60000000000002,117.60000000000001,13.415841584158416,NYG,10.0,1.0,10.0,2.0,0.0,18.2,2.0,0.0,0.0,0.0,0.0,10.0
2013,TEN,kendall wright,00-0029708,807,1075.0,16.0,94.0,1079.0,2.0,139.0,1101.0,17.22,17.22,548.0,119.9,213.9,166.9,7.920863309352518,TEN,8.0,7.0,87.5,33.0,2.0,14.8,4.0,3.0,75.0,20.0,2.0,13.8
2013,SF,anquan boldin,00-0022084,804,991.0,16.0,85.0,1179.0,7.0,129.0,1567.0,16.04,16.29,479.0,159.9,244.9,202.4,12.147286821705427,SFO,13.0,10.0,76.92,108.0,6.0,26.5,8.0,5.0,62.5,39.0,4.0,27.6
2013,PIT,emmanuel sanders,00-0027685,797,1052.0,16.0,67.0,740.0,6.0,113.0,1274.0,14.05,14.18,279.0,110.0,177.0,143.5,11.274336283185841,PIT,16.0,9.0,56.25,38.0,5.0,18.4,10.0,7.0,70.0,23.0,5.0,25.6
2013,BAL,marlon brown,00-0030400,790,981.0,14.0,49.0,524.0,7.0,82.0,829.0,10.38,10.51,237.0,94.4,143.4,118.9,10.109756097560975,BAL,13.0,9.0,69.23,74.0,7.0,17.3,10.0,7.0,70.0,42.0,5.0,25.6
2013,PHI,jason avant,00-0024324,789,1103.0,16.0,38.0,447.0,2.0,77.0,904.0,9.63,9.63,85.0,56.7,94.7,75.7,11.74025974025974,PHI,10.0,4.0,40.0,41.0,1.0,17.9,2.0,0.0,0.0,0.0,0.0,8.7
