"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Darius Slayton","NYG","36.0","508.3","3.2","0.5","-5.0","0.0","0.6","68.9"
"Bryan Edwards","ATL","35.3","522.6","2.8","0.0","0.0","0.0","0.1","68.8"
"Sterling Shepard","NYG","57.7","544.0","2.4","2.5","10.0","0.0","0.6","68.5"
"Dee Eskridge","SEA","37.7","463.9","2.6","7.9","52.3","0.3","0.3","67.8"
"Jauan Jennings","SF","35.9","401.2","4.1","0.0","0.0","0.0","0.1","64.2"
"Malik Turner","SF","24.0","340.0","5.0","0.0","0.0","0.0","0.0","64.0"
"Nelson Agholor","NE","31.9","410.4","2.9","3.7","18.5","0.1","0.1","60.7"
"Zay Jones","JAC","42.6","475.4","2.3","1.0","1.5","0.0","0.6","60.4"
"Marquez Callaway","NO","27.9","392.0","2.9","4.4","26.9","0.2","0.0","60.2"
"David Bell","CLE","32.3","446.1","2.7","1.0","6.0","0.0","0.6","60.1"
"Amari Rodgers","GB","32.1","430.7","2.6","1.5","10.0","0.0","0.6","58.5"
"Anthony Schwartz","CLE","30.8","389.5","2.5","4.3","26.4","0.2","0.3","57.1"
"Terrace Marshall Jr.","CAR","38.6","443.9","2.1","0.0","0.0","0.0","0.3","56.3"
"Chris Conley","HOU","32.5","431.9","1.9","0.0","0.0","0.0","0.3","54.2"
"Keelan Cole Sr.","LV","27.2","407.7","2.2","0.0","0.5","0.0","0.0","53.6"
"Jalen Guyton","LAC","23.8","340.5","2.3","7.8","39.2","0.2","0.1","52.5"
"Laviska Shenault Jr.","JAC","37.7","386.5","1.5","11.4","48.1","0.1","0.6","51.8"
"Wan'Dale Robinson","NYG","31.7","345.4","1.6","7.9","48.1","0.4","0.2","50.8"
"Olamide Zaccheaus","ATL","29.5","375.6","2.1","0.5","1.0","0.0","0.1","50.1"
"Byron Pringle","CHI","35.5","390.3","1.9","0.0","0.0","0.0","0.3","49.9"
"Noah Brown","DAL","30.9","351.8","2.1","0.0","0.5","0.0","0.1","47.8"
"Parris Campbell","IND","29.8","371.1","1.9","0.0","0.0","0.0","0.2","47.8"
"Tutu Atwell","LAR","26.4","320.6","2.5","0.0","0.0","0.0","0.2","46.6"
"Isaiah McKenzie","BUF","25.2","242.4","1.9","9.9","58.3","0.6","0.2","44.6"
"Quintez Cephus","DET","19.6","265.1","2.7","0.0","0.0","0.0","0.0","42.8"
"Breshad Perriman","TB","19.4","299.2","1.9","1.0","1.0","0.0","0.0","41.6"
"KJ Hamler","DEN","22.7","300.0","1.9","0.0","0.0","0.0","0.2","41.1"
"James Proche II","BAL","26.0","307.9","1.7","0.0","0.0","0.0","0.2","40.5"
