,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
71,Chuba Hubbard,CAR,RB,76.3,271.8,1.8,14.9,104.6,0.7,0.6,0.0,0.0,0,0.0,0.0
72,Duke Johnson Jr.,BUF,RB,48.2,232.4,1.8,11.0,104.6,0.6,0.5,0.0,0.0,0,0.0,0.0
73,Craig Reynolds,DET,RB,56.8,241.9,1.0,16.6,125.7,0.7,0.6,0.0,0.0,0,0.0,0.0
74,Chris Carson,SEA,RB,55.8,245.1,1.7,13.9,90.8,0.3,0.4,0.0,0.0,0,0.0,0.0
75,Boston Scott,PHI,RB,53.1,234.3,2.6,5.7,41.4,0.2,0.2,0.0,0.0,0,0.0,0.0
76,Kyle Juszczyk,SF,RB,10.4,37.1,0.7,25.7,232.2,1.7,0.1,0.0,0.0,0,0.0,0.0
77,Ty Johnson,NYJ,RB,45.8,213.1,1.1,9.3,99.9,0.6,0.5,0.0,0.0,0,0.0,0.0
78,Jaret Patterson,WAS,RB,60.2,233.0,1.6,9.4,68.4,0.1,1.0,0.0,0.0,0,0.0,0.0
79,Zamir White,LV,RB,52.5,218.9,2.0,4.2,31.1,0.2,0.2,0.0,0.0,0,0.0,0.0
80,Benny Snell Jr.,PIT,RB,54.4,211.5,1.6,4.3,29.7,0.1,0.3,0.0,0.0,0,0.0,0.0
81,Snoop Conner,JAC,RB,40.9,171.3,1.3,9.3,68.7,0.3,0.2,0.0,0.0,0,0.0,0.0
82,Joshua Kelley,LAC,RB,69.9,230.1,1.5,5.2,35.4,0.0,1.6,0.0,0.0,0,0.0,0.0
83,Gary Brightwell,NYG,RB,38.8,167.5,1.4,8.8,61.8,0.3,0.2,0.0,0.0,0,0.0,0.0
84,Chris Evans,CIN,RB,28.2,119.1,0.6,14.2,117.9,1.0,0.6,0.0,0.0,0,0.0,0.0
85,Hassan Haskins,TEN,RB,40.3,171.1,1.1,7.9,60.5,0.3,0.1,0.0,0.0,0,0.0,0.0
86,Ameer Abdullah,LV,RB,21.5,76.4,0.3,18.0,142.7,0.8,0.1,0.0,0.0,0,0.0,0.0
87,Jermar Jefferson,DET,RB,29.0,128.0,2.0,4.0,26.0,0.0,0.0,0.0,0.0,0,0.0,0.0
88,Ty'Son Williams,IND,RB,35.0,171.0,1.0,3.0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0
89,Derrick Gore,KC,RB,24.2,105.3,1.0,9.5,68.4,0.4,0.1,0.0,0.0,0,0.0,0.0
90,Giovani Bernard,TB,RB,20.2,79.7,0.7,14.5,97.2,0.7,0.1,0.0,0.0,0,0.0,0.0
91,Tevin Coleman,NYJ,RB,38.6,160.7,0.6,8.5,52.7,0.1,0.5,0.0,0.0,0,0.0,0.0
92,Isaih Pacheco,KC,RB,31.0,131.0,1.0,5.0,44.0,0.0,0.0,0.0,0.0,0,0.0,0.0
93,Phillip Lindsay,IND,RB,35.8,159.6,1.0,1.4,12.4,0.0,0.0,0.0,0.0,0,0.0,0.0
94,Mike Davis,BAL,RB,32.4,138.2,1.0,4.9,31.1,0.1,0.1,0.0,0.0,0,0.0,0.0
95,D'Ernest Johnson,CLE,RB,28.4,138.8,0.8,4.0,28.0,0.1,0.1,0.0,0.0,0,0.0,0.0
96,Jeff Wilson Jr.,SF,RB,28.6,117.6,1.1,3.3,25.7,0.2,0.2,0.0,0.0,0,0.0,0.0
97,Mike Boone,DEN,RB,20.2,113.7,1.2,3.0,22.2,0.1,0.0,0.0,0.0,0,0.0,0.0
98,Trey Sermon,SF,RB,34.0,137.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0
99,Eno Benjamin,ARI,RB,24.9,105.5,0.8,6.4,45.8,0.2,0.1,0.0,0.0,0,0.0,0.0
100,Keaontay Ingram,ARI,RB,26.7,107.0,0.8,5.2,42.6,0.1,0.1,0.0,0.0,0,0.0,0.0
101,Tyrion Davis-Price,SF,RB,28.5,115.4,0.8,3.7,31.0,0.1,0.1,0.0,0.0,0,0.0,0.0
102,Demetric Felton Jr.,CLE,RB,7.2,27.5,0.1,9.9,100.6,1.1,0.0,0.0,0.0,0,0.0,0.0
103,Rico Dowdle,DAL,RB,24.4,99.5,0.8,5.4,40.9,0.1,0.0,0.0,0.0,0,0.0,0.0
104,Travis Homer,SEA,RB,17.7,102.1,0.6,5.5,48.3,0.0,0.0,0.0,0.0,0,0.0,0.0
105,Tony Jones Jr.,NO,RB,25.5,105.2,0.7,3.8,27.2,0.2,0.1,0.0,0.0,0,0.0,0.0
106,Antonio Williams,NYG,RB,21.9,100.3,0.8,3.6,27.4,0.1,0.0,0.0,0.0,0,0.0,0.0
107,Pierre Strong Jr.,NE,RB,23.2,96.1,0.7,4.0,31.5,0.1,0.0,0.0,0.0,0,0.0,0.0
108,Patrick Ricard,BAL,RB,1.5,2.0,0.0,13.7,96.6,1.2,0.0,0.0,0.0,0,0.0,0.0
109,Johnny Stanton,CLE,RB,10.1,41.1,0.0,8.0,54.6,1.1,0.0,0.0,0.0,0,0.0,0.0
110,Trestan Ebner,CHI,RB,21.8,88.6,0.7,2.9,23.4,0.0,0.0,0.0,0.0,0,0.0,0.0
111,Tyler Badie,BAL,RB,20.3,94.0,0.6,2.9,24.1,0.0,0.0,0.0,0.0,0,0.0,0.0
112,Myles Gaskin,MIA,RB,22.1,90.7,0.7,3.6,19.4,0.1,0.0,0.0,0.0,0,0.0,0.0
113,Darrynton Evans,CHI,RB,15.6,67.2,0.6,5.6,40.4,0.2,0.1,0.0,0.0,0,0.0,0.0
114,Jake Funk,LAR,RB,20.1,85.5,0.7,2.1,15.3,0.1,0.1,0.0,0.0,0,0.0,0.0
115,Kene Nwangwu,MIN,RB,16.6,71.7,0.6,4.4,30.9,0.2,0.1,0.0,0.0,0,0.0,0.0
116,Kevin Harris,NE,RB,19.1,78.7,0.6,3.0,24.2,0.0,0.0,0.0,0.0,0,0.0,0.0
117,Jerome Ford,CLE,RB,17.0,81.2,0.5,2.0,18.5,0.0,0.0,0.0,0.0,0,0.0,0.0
118,Deon Jackson,IND,RB,17.5,75.3,0.6,1.9,13.8,0.1,0.1,0.0,0.0,0,0.0,0.0
119,Anthony McFarland Jr.,PIT,RB,19.0,80.0,0.5,2.0,14.3,0.1,0.1,0.0,0.0,0,0.0,0.0
120,JaMycal Hasty,SF,RB,4.6,19.6,0.2,10.5,73.3,0.4,0.1,0.0,0.0,0,0.0,0.0
121,Ty Chandler,MIN,RB,18.0,72.3,0.6,2.0,19.5,0.0,0.0,0.0,0.0,0,0.0,0.0
122,Keith Smith,ATL,RB,7.7,31.9,0.2,8.0,57.1,0.3,0.1,0.0,0.0,0,0.0,0.0
